rep,party,district,score_2016,score_lifetime
"Byrne, Bradley",R,AL-01,0%,0%
"Roby, Martha",R,AL-02,3%,4%
"Rogers, Mike D.",R,AL-03,3%,6%
"Aderholt, Robert B.",R,AL-04,3%,4%
"Brooks, Mo",R,AL-05,3%,7%
"Palmer, Gary",R,AL-06,0%,3%
"Sewell, Terri",D,AL-07,82%,78%
"Young, Don",R,AK-AL,3%,9%
"Kirkpatrick, Ann",D,AZ-01,76%,68%
"McSally, Martha",R,AZ-02,3%,3%
"Grijalva, Raul",D,AZ-03,95%,95%
"Gosar, Paul",R,AZ-04,0%,5%
"Salmon, Matt",R,AZ-05,0%,8%
"Schweikert, David",R,AZ-06,0%,5%
"Gallego, Ruben",D,AZ-07,97%,97%
"Franks, Trent",R,AZ-08,3%,4%
"Sinema, Kyrsten",D,AZ-09,87%,77%
"Crawford, Rick",R,AR-01,3%,5%
"Hill, French",R,AR-02,5%,4%
"Womack, Steve",R,AR-03,3%,4%
"Westerman, Bruce",R,AR-04,0%,1%
"LaMalfa, Doug",R,CA-01,3%,1%
"Huffman, Jared",D,CA-02,100%,99%
"Garamendi, John",D,CA-03,87%,89%
"McClintock, Tom",R,CA-04,0%,4%
"Thompson, Mike",D,CA-05,100%,93%
"Matsui, Doris O.",D,CA-06,97%,96%
"Bera, Ami",D,CA-07,97%,91%
"Cook, Paul",R,CA-08,3%,3%
"McNerney, Jerry",D,CA-09,100%,94%
"Denham, Jeff",R,CA-10,3%,6%
"DeSaulnier, Mark",D,CA-11,100%,99%
"Pelosi, Nancy",D,CA-12,100%,93%
"Lee, Barbara J.",D,CA-13,100%,96%
"Speier, Jackie",D,CA-14,100%,90%
"Swalwell, Eric",D,CA-15,97%,96%
"Costa, Jim",D,CA-16,55%,48%
"Honda, Mike",D,CA-17,100%,98%
"Eshoo, Anna G.",D,CA-18,97%,97%
"Lofgren, Zoe",D,CA-19,100%,90%
"Farr, Sam",D,CA-20,95%,95%
"Valadao, David G.",R,CA-21,5%,3%
"Nunes, Devin G.",R,CA-22,3%,3%
"McCarthy, Kevin",R,CA-23,3%,3%
"Capps, Lois",D,CA-24,97%,96%
"Knight, Steve",R,CA-25,0%,0%
"Brownley, Julia",D,CA-26,100%,97%
"Chu, Judy M.",D,CA-27,97%,97%
"Schiff, Adam B.",D,CA-28,100%,98%
"CÃ¡rdenas, Tony",D,CA-29,84%,90%
"Sherman, Brad J.",D,CA-30,100%,97%
"Aguilar, Pete",D,CA-31,100%,97%
"Napolitano, Grace",D,CA-32,92%,91%
"Lieu, Ted",D,CA-33,89%,90%
"Becerra, Xavier",D,CA-34,89%,92%
"Torres, Norma",D,CA-35,100%,96%
"Ruiz, Raul",D,CA-36,100%,93%
"Bass, Karen",D,CA-37,95%,89%
"Sanchez, Linda",D,CA-38,95%,92%
"Royce, Ed",R,CA-39,5%,11%
"Roybal-Allard, Lucille",D,CA-40,100%,95%
"Takano, Mark",D,CA-41,100%,99%
"Calvert, Ken S.",R,CA-42,5%,6%
"Waters, Maxine",D,CA-43,89%,91%
"Hahn, Janice",D,CA-44,95%,95%
"Walters, Mimi",R,CA-45,5%,4%
"Sanchez, Loretta L.",D,CA-46,66%,86%
"Lowenthal, Alan S.",D,CA-47,100%,99%
"Rohrabacher, Dana T.",R,CA-48,0%,10%
"Issa, Darrell",R,CA-49,3%,4%
"Hunter, Duncan D.",R,CA-50,0%,2%
"Vargas, Juan",D,CA-51,100%,96%
"Peters, Scott H.",D,CA-52,97%,93%
"Davis, Susan A.",D,CA-53,100%,97%
"DeGette, Diana L.",D,CO-01,100%,97%
"Polis, Jared",D,CO-02,100%,90%
"Tipton, Scott",R,CO-03,0%,6%
"Buck, Ken",R,CO-04,0%,1%
"Lamborn, Doug",R,CO-05,0%,4%
"Coffman, Mike",R,CO-06,3%,4%
"Perlmutter, Ed",D,CO-07,97%,84%
"Larson, John B.",D,CT-01,100%,92%
"Courtney, Joe",D,CT-02,100%,97%
"DeLauro, Rosa L.",D,CT-03,97%,96%
"Himes, Jim",D,CT-04,97%,94%
"Esty, Elizabeth H.",D,CT-05,100%,99%
"Carney, John",D,DE-AL,92%,91%
"Miller, Jeff",R,FL-01,3%,6%
"Graham, Gwen",D,FL-02,89%,79%
"Yoho, Ted S.",R,FL-03,3%,2%
"Crenshaw, Ander",R,FL-04,5%,7%
"Brown, Corrine",D,FL-05,87%,87%
"DeSantis, Ron",R,FL-06,3%,2%
"Mica, John L.",R,FL-07,0%,6%
"Posey, Bill",R,FL-08,5%,6%
"Grayson, Alan",D,FL-09,100%,98%
"Webster, Daniel",R,FL-10,0%,6%
"Nugent, Rich",R,FL-11,5%,5%
"Bilirakis, Gus",R,FL-12,5%,10%
"Jolly, David W.",R,FL-13,21%,13%
"Castor, Kathy",D,FL-14,100%,94%
"Ross, Dennis",R,FL-15,3%,4%
"Buchanan, Vern",R,FL-16,29%,21%
"Rooney, Tom",R,FL-17,3%,6%
"Murphy, Patrick",D,FL-18,92%,83%
"Clawson, Curtis",R,FL-19,16%,8%
"Hastings, Alcee L.",D,FL-20,37%,82%
"Deutch, Ted",D,FL-21,100%,91%
"Frankel, Lois",D,FL-22,100%,99%
"Wasserman Schultz, Debbie",D,FL-23,100%,93%
"Wilson, Frederica",D,FL-24,95%,91%
"Diaz-Balart, Mario",R,FL-25,8%,11%
"Curbelo, Carlos",R,FL-26,53%,38%
"Ros-Lehtinen, Ileana",R,FL-27,45%,34%
"Carter, Buddy",R,GA-01,0%,0%
"Bishop, Sanford D.",D,GA-02,47%,49%
"Westmoreland, Lynn A.",R,GA-03,3%,3%
"Johnson, Hank",D,GA-04,100%,95%
"Lewis, John R.",D,GA-05,97%,92%
"Price, Tom",R,GA-06,0%,4%
"Woodall, Rob",R,GA-07,3%,4%
"Scott, Austin",R,GA-08,0%,3%
"Collins, Doug",R,GA-09,0%,3%
"Hice, Jody",R,GA-10,0%,0%
"Loudermilk, Barry",R,GA-11,0%,0%
"Allen, Rick",R,GA-12,0%,0%
"Scott, David",D,GA-13,82%,81%
"Graves, Tom",R,GA-14,0%,3%
"Hanabusa, Colleen",D,HI-01,100%,89%
"Gabbard, Tulsi",D,HI-02,100%,98%
"Labrador, Raul",R,ID-01,0%,5%
"Simpson, Mike",R,ID-02,13%,7%
"Rush, Bobby L.",D,IL-01,82%,79%
"Kelly, Robin",D,IL-02,89%,92%
"Lipinski, Dan",D,IL-03,95%,89%
"Gutierrez, Luis V.",D,IL-04,97%,91%
