rep,party,district,oil_gas,pipelines,coal
"Byrne, Bradley",R,AL-01,33450,4000,10400
"Roby, Martha",R,AL-02,21950,2000,7500
"Rogers, Mike D.",R,AL-03,12500,3000,11000
"Aderholt, Robert B.",R,AL-04,18200,0,8000
"Brooks, Mo",R,AL-05,0,0,0
"Palmer, Gary",R,AL-06,13550,0,13300
"Sewell, Terri",D,AL-07,0,0,0
"Young, Don",R,AK-AL,71550,0,2000
"Kirkpatrick, Ann",D,AZ-01,3386,140,0
"McSally, Martha",R,AZ-02,69146,1500,0
"Grijalva, Raul",D,AZ-03,0,0,0
"Gosar, Paul",R,AZ-04,5750,1000,3000
"Salmon, Matt",R,AZ-05,16600,2500,0
"Schweikert, David",R,AZ-06,10000,0,0
"Gallego, Ruben",D,AZ-07,3000,1500,0
"Franks, Trent",R,AZ-08,5500,3000,0
"Sinema, Kyrsten",D,AZ-09,10500,2750,0
"Crawford, Rick",R,AR-01,6250,3000,0
"Hill, French",R,AR-02,32050,7400,0
"Womack, Steve",R,AR-03,16500,3000,0
"Westerman, Bruce",R,AR-04,43200,3000,1000
"LaMalfa, Doug",R,CA-01,25250,10250,0
"Huffman, Jared",D,CA-02,5000,5000,0
"Garamendi, John",D,CA-03,1000,1000,0
"McClintock, Tom",R,CA-04,18000,4000,0
"Thompson, Mike",D,CA-05,7500,0,0
"Matsui, Doris O.",D,CA-06,14500,1000,0
"Bera, Ami",D,CA-07,2800,2700,0
"Cook, Paul",R,CA-08,22400,13500,0
"McNerney, Jerry",D,CA-09,4500,2000,0
"Denham, Jeff",R,CA-10,188999,42999,1000
"DeSaulnier, Mark",D,CA-11,0,0,0
"Pelosi, Nancy",D,CA-12,428,50,0
"Lee, Barbara J.",D,CA-13,0,0,0
"Speier, Jackie",D,CA-14,0,0,0
"Swalwell, Eric",D,CA-15,9200,2000,0
"Costa, Jim",D,CA-16,95525,21000,3500
"Honda, Mike",D,CA-17,5400,0,0
"Eshoo, Anna G.",D,CA-18,0,0,0
"Lofgren, Zoe",D,CA-19,3700,0,0
"Farr, Sam",D,CA-20,0,0,0
"Valadao, David G.",R,CA-21,0,0,0
"Nunes, Devin G.",R,CA-22,0,0,0
"McCarthy, Kevin",R,CA-23,337650,22100,15700
"Capps, Lois",D,CA-24,0,0,0
"Knight, Steve",R,CA-25,50400,0,0
"Brownley, Julia",D,CA-26,1068,50,75
"Chu, Judy M.",D,CA-27,0,0,0
"Schiff, Adam B.",D,CA-28,0,0,0
"Cárdenas, Tony",D,CA-29,0,0,0
"Sherman, Brad J.",D,CA-30,0,0,0
"Aguilar, Pete",D,CA-31,1103,1100,0
"Napolitano, Grace",D,CA-32,5000,5000,0
"Lieu, Ted",D,CA-33,0,0,0
